Education,Experience_Years,Programming,Python,SQL,Machine_Learning,Cloud,Communication,Leadership,Data_Analysis,Electronics,Networking,Linux,Project_Count,Certifications,Job_Role,Salary_LPA
M.Sc,4.8,7,5,2,3,1,6,3,2,8,3,5,5,3,Embedded Systems Engineer,19.53
B.Tech,1.4,7,10,7,10,5,6,3,8,4,2,7,2,2,Data Scientist,15.7
B.Tech,3.6,8,6,7,1,4,10,5,9,2,3,2,7,2,Data Analyst,15.99
B.Tech,3.3,6,5,5,4,9,7,5,4,3,9,8,6,2,Cloud Engineer,17.93
M.Tech,1.1,4,5,7,2,8,6,3,1,4,6,9,4,0,Cloud Engineer,12.37
B.Tech,3.4,10,10,8,10,6,6,6,6,3,6,8,3,3,ML Engineer,19.73
M.Tech,1.0,8,3,2,2,8,8,4,3,3,7,7,2,2,Network Engineer,14.9
MBA,3.6,3,3,4,1,7,9,5,5,4,8,9,6,3,Network Engineer,17.65
M.Sc,3.7,8,5,2,2,8,7,7,1,1,8,8,7,2,Cloud Engineer,18.79
M.Tech,0.6,4,4,4,3,7,8,2,1,4,9,7,3,0,Network Engineer,11.56
Diploma,6.2,9,9,9,5,2,6,6,7,1,4,4,7,2,Data Scientist,19.19
B.Tech,4.6,4,1,8,1,1,8,4,6,2,3,4,9,3,Business Analyst,17.38
MBA,4.3,7,5,5,2,9,8,5,4,4,9,7,5,2,Cloud Engineer,18.6
B.Tech,3.3,9,10,7,3,5,8,6,6,4,6,7,6,2,Software Developer,17.48
B.Tech,3.6,9,5,6,1,4,6,5,6,4,2,3,7,0,Software Developer,15.65
MBA,3.8,7,3,9,4,3,10,4,8,5,2,3,6,3,Data Analyst,17.41
B.Tech,1.5,9,7,6,4,3,6,5,6,3,2,3,5,2,Software Developer,12.95
BCA,2.6,9,5,4,2,7,4,4,4,2,4,4,6,3,Software Developer,11.81
Diploma,3.6,8,5,9,2,3,8,2,7,1,6,2,3,2,Software Developer,15.42
B.Tech,4.0,8,5,10,3,5,6,5,8,1,3,5,5,1,Data Analyst,15.35
MBA,2.7,9,4,1,1,2,5,5,4,10,4,4,5,2,Embedded Systems Engineer,12.15
B.Tech,0.7,9,10,7,8,7,7,6,9,1,2,2,3,2,Data Scientist,18.13
M.Tech,3.1,5,1,5,1,2,8,4,8,2,5,1,4,0,Business Analyst,13.14
M.Tech,4.8,4,1,7,1,2,8,7,9,1,2,2,4,2,Business Analyst,17.88
B.Sc,5.7,5,1,4,2,5,4,3,4,6,9,7,7,3,Network Engineer,17.4
B.Tech,1.5,6,6,8,2,3,8,4,10,1,4,4,6,3,Data Analyst,13.14
B.Tech,2.0,7,1,4,4,6,6,2,1,5,6,6,4,2,Network Engineer,14.0
B.Tech,1.2,9,6,8,9,6,8,5,10,1,4,4,1,2,Data Scientist,18.67
Diploma,2.0,7,4,1,2,1,3,5,1,9,5,5,3,2,Embedded Systems Engineer,13.36
B.Tech,2.3,6,7,8,5,1,6,5,10,3,3,4,4,3,Data Analyst,12.78
B.Sc,1.7,4,5,6,1,5,10,7,8,1,1,3,5,3,Business Analyst,13.53
B.Tech,1.4,8,7,5,10,6,6,6,6,3,6,4,0,2,ML Engineer,16.22
M.Sc,4.2,4,4,6,3,3,8,9,8,1,2,2,8,3,Business Analyst,18.12
Diploma,3.3,8,9,4,10,10,7,4,7,4,5,8,5,3,ML Engineer,21.74
M.Sc,2.6,7,10,8,9,4,5,4,9,1,3,2,3,2,Data Scientist,18.38
B.Sc,3.2,7,4,1,3,3,7,5,3,7,5,7,6,3,Embedded Systems Engineer,15.39
M.Sc,3.1,9,6,6,4,3,5,4,4,2,2,6,4,3,Software Developer,15.59
M.Tech,5.2,4,3,5,3,4,8,9,8,1,2,2,6,3,Business Analyst,19.03
B.Tech,1.9,7,4,3,1,8,7,4,6,4,10,8,6,1,Cloud Engineer,15.3
M.Tech,4.3,6,4,1,1,7,9,6,1,4,10,8,6,3,Network Engineer,19.29
M.Sc,4.9,5,5,4,4,2,6,3,2,10,2,4,6,1,Embedded Systems Engineer,17.48
BCA,4.6,8,4,1,2,4,5,2,4,10,4,3,7,3,Embedded Systems Engineer,16.29
M.Tech,5.0,8,1,4,1,9,9,5,5,6,9,10,7,2,Network Engineer,20.94
BCA,4.5,6,7,1,2,1,7,4,4,8,3,4,5,1,Embedded Systems Engineer,13.41
Diploma,3.6,8,9,6,10,7,7,4,9,3,1,7,5,2,Data Scientist,18.42
BCA,3.0,7,5,4,3,3,6,6,1,10,5,4,4,1,Embedded Systems Engineer,13.18
M.Sc,3.3,8,8,9,9,5,8,4,8,1,3,6,2,1,Data Scientist,18.45
B.Tech,3.0,7,9,7,7,6,5,4,8,2,5,1,5,3,Data Scientist,17.66
MBA,3.7,7,7,7,9,5,6,5,8,2,1,5,6,1,Data Scientist,21.82
B.Tech,4.0,8,6,5,9,8,6,6,9,4,6,7,5,3,ML Engineer,23.1
B.Tech,3.3,10,4,6,1,6,8,3,6,4,5,5,7,1,Software Developer,16.23
B.Tech,0.5,5,2,2,2,3,10,10,7,1,1,2,3,0,Business Analyst,10.85
B.Sc,0.6,9,9,8,7,6,5,2,4,1,5,9,0,1,ML Engineer,13.76
B.Tech,3.0,7,7,4,8,6,6,4,9,3,3,3,5,2,Data Scientist,19.72
B.Tech,2.8,9,10,8,9,5,8,4,8,1,3,3,7,3,Data Scientist,17.8
B.Tech,3.6,9,9,9,8,4,8,4,9,4,2,5,5,2,Data Scientist,19.36
B.Tech,4.0,6,3,3,2,7,6,5,2,4,10,8,5,2,Network Engineer,16.32
B.Tech,0.5,8,6,1,1,1,5,6,2,8,5,7,2,2,Embedded Systems Engineer,9.91
M.Sc,3.2,8,10,4,10,7,8,5,6,3,2,8,6,2,ML Engineer,21.39
BCA,0.4,7,5,1,1,1,6,2,2,9,2,7,0,1,Embedded Systems Engineer,11.02
B.Tech,3.2,9,6,7,10,6,8,2,5,3,5,6,7,2,ML Engineer,21.04
M.Tech,4.3,3,5,4,1,10,9,4,7,2,10,9,7,4,Cloud Engineer,21.35
B.Tech,2.3,4,4,4,3,8,7,4,1,2,10,8,2,1,Network Engineer,11.63
B.Tech,3.4,5,9,6,4,6,8,4,8,2,5,1,8,1,Data Analyst,15.54
MBA,2.6,6,8,9,9,6,9,6,9,1,1,4,4,2,Data Scientist,17.95
B.Sc,4.0,9,8,7,10,6,7,3,7,2,3,5,6,2,Data Scientist,17.12
MBA,3.8,5,1,5,1,3,7,7,7,2,3,1,5,2,Business Analyst,14.6
B.Tech,3.6,9,6,1,4,5,5,3,3,8,3,6,3,1,Embedded Systems Engineer,15.2
B.Sc,1.0,7,4,4,1,4,9,9,6,3,2,2,5,0,Business Analyst,12.36
MBA,4.8,6,2,4,1,4,8,4,1,6,9,9,7,5,Network Engineer,18.54
B.Tech,1.8,10,3,2,2,2,4,4,2,8,5,7,2,3,Embedded Systems Engineer,12.64
B.Tech,2.3,4,4,7,4,3,7,3,10,1,4,2,3,0,Data Analyst,11.02
BCA,1.7,4,5,8,2,4,6,8,10,2,4,5,3,1,Data Analyst,11.64
B.Sc,2.4,10,8,5,6,6,5,4,6,6,6,6,4,3,ML Engineer,19.18
B.Tech,4.9,8,10,7,9,6,6,6,8,1,1,3,6,2,Data Scientist,21.39
B.Tech,3.0,5,9,9,5,5,7,6,10,4,2,1,7,2,Data Analyst,15.65
BCA,4.4,9,6,4,3,9,7,4,5,2,8,7,7,3,Cloud Engineer,19.79
M.Tech,5.1,8,7,6,1,5,5,4,5,2,3,5,7,3,Software Developer,20.62
B.Tech,4.5,8,7,7,5,4,6,4,2,1,6,7,7,3,Software Developer,18.66
MBA,0.7,8,4,2,2,8,6,4,5,2,9,9,3,1,Cloud Engineer,14.42
B.Sc,3.9,7,5,3,2,3,4,5,4,10,4,8,7,1,Embedded Systems Engineer,16.4
B.Tech,3.9,9,5,3,4,10,5,3,4,3,8,9,5,0,Cloud Engineer,16.51
M.Sc,4.6,6,3,3,4,7,7,5,3,3,7,9,10,2,Network Engineer,17.9
B.Tech,3.4,8,6,5,2,9,6,4,5,1,7,9,5,1,Cloud Engineer,17.43
M.Tech,4.6,5,6,8,4,4,8,7,10,2,4,2,8,4,Data Analyst,19.12
B.Tech,3.2,3,1,6,1,4,9,7,6,1,3,3,7,3,Business Analyst,17.34
M.Sc,3.6,7,8,7,6,6,5,3,7,3,4,8,8,4,ML Engineer,18.72
B.Tech,0.9,7,6,2,4,7,5,9,3,5,10,9,6,3,Network Engineer,13.65
B.Tech,1.5,9,8,9,3,6,6,4,7,3,2,7,5,1,Software Developer,14.76
B.Tech,0.3,4,8,8,2,3,8,5,10,5,1,6,2,0,Data Analyst,8.13
B.Sc,1.9,5,3,9,5,2,8,5,10,1,4,1,6,1,Business Analyst,11.53
BCA,4.6,4,3,3,3,8,8,5,2,5,10,9,8,3,Network Engineer,17.54
M.Tech,3.2,9,4,3,1,3,6,5,4,8,3,8,5,2,Embedded Systems Engineer,16.46
M.Tech,2.8,10,9,6,8,6,9,3,10,2,5,4,4,2,Data Scientist,20.26
B.Tech,2.3,7,7,4,3,1,4,6,4,10,4,5,5,0,Embedded Systems Engineer,11.7
M.Tech,3.4,6,7,10,2,3,6,5,10,1,1,3,7,2,Data Analyst,17.11
B.Sc,0.9,5,2,6,2,1,8,6,9,1,2,1,4,2,Business Analyst,12.55
M.Sc,3.4,9,5,2,2,1,3,4,3,9,6,5,5,3,Embedded Systems Engineer,15.58
MBA,5.3,9,7,8,9,3,7,4,8,4,3,3,8,3,Data Scientist,22.58
B.Tech,2.6,7,5,2,4,3,10,5,1,9,4,5,5,1,Embedded Systems Engineer,15.13
B.Sc,1.3,4,3,6,2,2,10,7,9,1,3,1,5,1,Business Analyst,11.01
BCA,2.5,9,8,7,5,6,7,4,3,3,4,5,3,1,Software Developer,15.5
B.Tech,4.6,3,3,7,1,5,8,8,7,1,3,3,11,3,Business Analyst,19.0
B.Tech,4.0,7,10,8,4,6,5,2,7,2,2,4,5,2,Software Developer,17.55
M.Sc,2.2,8,6,5,1,9,5,5,4,5,8,8,6,3,Cloud Engineer,18.08
B.Sc,2.3,7,8,8,8,5,7,7,10,4,3,4,4,2,Data Scientist,17.53
M.Sc,4.0,4,3,8,1,2,7,9,10,1,1,1,5,1,Business Analyst,13.67
B.Tech,2.1,9,4,4,5,10,9,6,4,1,9,8,5,1,Cloud Engineer,16.2
Diploma,2.5,7,7,9,9,6,3,4,8,1,3,2,5,2,Data Scientist,17.22
BCA,1.3,2,2,6,3,3,10,7,6,3,4,3,4,0,Business Analyst,9.94
B.Tech,3.7,8,7,8,8,5,6,4,9,2,3,4,6,2,ML Engineer,17.61
M.Sc,4.8,5,8,7,5,9,5,4,1,2,10,8,8,4,Cloud Engineer,20.68
B.Tech,1.7,7,4,4,4,5,5,5,3,2,2,4,4,1,Software Developer,11.92
B.Sc,3.7,9,6,9,4,3,6,3,4,4,7,3,7,2,Software Developer,15.98
B.Sc,2.5,5,5,9,4,5,6,6,10,2,3,5,6,1,Data Analyst,14.9
BCA,1.7,2,2,6,3,3,10,7,6,2,2,3,3,1,Business Analyst,10.83
M.Tech,4.9,5,6,7,3,3,6,4,9,3,3,1,8,2,Data Analyst,20.03
B.Sc,1.1,10,7,8,9,7,5,6,8,1,5,6,7,0,Data Scientist,17.21
M.Tech,4.0,7,7,7,5,4,6,3,4,4,6,5,8,3,Software Developer,18.28
BCA,2.8,7,5,8,4,2,8,4,8,2,2,5,8,2,Data Analyst,15.21
M.Tech,4.8,9,5,4,1,8,3,4,4,2,10,8,7,3,Cloud Engineer,17.7
B.Tech,4.3,6,4,5,3,8,7,4,2,3,9,5,7,2,Network Engineer,16.91
B.Sc,5.1,9,7,7,9,6,7,3,10,2,4,5,7,3,Data Scientist,20.42
B.Tech,4.3,8,7,7,4,5,6,5,5,4,5,4,8,2,Software Developer,19.32
M.Sc,6.4,9,8,6,9,8,8,8,7,1,4,10,10,3,ML Engineer,25.51
B.Tech,1.1,9,8,6,3,5,6,6,9,2,2,5,7,0,Software Developer,16.15
B.Tech,4.9,10,6,6,3,4,6,4,6,2,4,4,5,3,Software Developer,18.6
M.Tech,4.2,10,10,10,10,5,8,5,10,4,2,5,6,2,Data Scientist,22.27
M.Sc,3.2,9,6,6,2,4,5,6,6,3,4,5,9,2,Software Developer,16.69
MBA,4.3,5,4,7,1,4,10,7,8,1,1,1,6,2,Business Analyst,15.24
M.Sc,3.0,5,3,4,2,4,7,3,6,3,9,8,5,2,Network Engineer,16.18
B.Sc,4.3,3,1,7,1,3,10,8,7,3,3,2,5,3,Business Analyst,14.12
M.Tech,3.6,10,8,7,8,6,9,3,7,2,4,8,6,3,ML Engineer,22.75
B.Tech,2.7,7,9,9,9,6,7,5,9,1,4,2,5,1,Data Scientist,21.23
BCA,0.9,8,5,1,3,9,7,5,2,3,9,9,4,2,Cloud Engineer,13.24
MBA,0.9,3,2,5,3,3,8,6,9,1,4,3,0,1,Business Analyst,7.66
B.Tech,2.1,1,1,6,5,3,8,7,7,4,1,2,5,3,Business Analyst,12.93
B.Tech,2.2,10,7,6,4,5,8,4,5,2,2,5,5,2,Software Developer,14.71
BCA,4.1,7,6,3,4,3,7,4,1,10,3,7,6,3,Embedded Systems Engineer,18.65
B.Tech,2.9,9,6,5,10,6,8,5,4,4,5,6,5,2,ML Engineer,19.83
Diploma,1.2,9,5,7,3,4,4,5,5,1,1,5,6,3,Software Developer,12.32
B.Tech,3.7,7,8,6,6,6,6,4,9,3,5,4,5,2,Data Scientist,18.08
BCA,1.5,8,9,9,8,2,8,6,7,1,6,6,5,1,Data Scientist,16.1
MBA,1.2,6,4,2,1,6,5,6,2,6,10,8,4,0,Network Engineer,11.67
MBA,5.4,4,6,3,2,9,6,6,3,3,10,10,10,2,Network Engineer,23.62
M.Tech,4.1,8,10,5,9,5,6,5,6,4,3,9,5,1,ML Engineer,18.64
B.Tech,0.1,8,6,4,3,1,4,4,4,10,3,6,2,0,Embedded Systems Engineer,9.54
B.Sc,2.7,10,7,6,10,7,8,5,6,6,5,7,6,2,ML Engineer,19.86
MBA,4.0,7,9,5,10,6,5,4,9,2,8,4,4,3,ML Engineer,23.1
M.Sc,4.7,8,4,6,1,6,9,6,4,5,4,3,6,2,Software Developer,17.9
M.Tech,4.1,6,4,8,3,4,8,4,8,2,1,1,7,3,Business Analyst,18.57
B.Tech,3.1,6,9,10,7,6,7,2,10,3,4,4,6,2,Data Scientist,16.29
MBA,3.8,8,4,7,1,9,6,5,5,2,7,9,5,5,Cloud Engineer,20.45
BCA,3.5,6,7,7,5,3,5,5,6,3,4,4,6,2,Software Developer,14.83
Diploma,1.8,5,6,7,3,3,8,4,8,2,3,4,3,2,Data Analyst,11.5
B.Sc,4.4,7,7,5,1,10,8,5,5,2,10,5,5,3,Cloud Engineer,17.87
M.Tech,3.6,7,5,4,4,3,3,5,9,2,5,5,6,3,Software Developer,17.15
Diploma,5.1,5,4,5,3,8,6,6,1,4,10,9,9,3,Network Engineer,18.2
M.Sc,2.7,10,5,2,5,10,5,4,4,2,6,10,4,3,Cloud Engineer,19.42
B.Tech,2.2,6,3,3,4,6,7,7,3,2,10,6,6,1,Network Engineer,18.66
B.Tech,3.8,6,6,7,2,4,7,5,8,2,5,4,5,2,Data Analyst,14.94
M.Tech,3.2,10,7,8,10,4,6,4,9,2,5,4,7,2,Data Scientist,21.95
B.Tech,3.9,5,9,8,6,4,7,4,9,3,3,3,6,2,Data Analyst,13.53
B.Tech,2.5,8,3,4,3,2,4,5,4,9,6,6,6,2,Embedded Systems Engineer,16.26
M.Sc,2.9,6,10,10,9,5,10,3,9,2,5,5,4,1,Data Scientist,17.94
M.Tech,3.1,10,9,6,9,7,5,4,7,5,2,9,4,1,ML Engineer,21.41
M.Tech,3.6,5,8,8,3,2,6,7,9,3,2,2,7,1,Data Analyst,15.74
B.Tech,4.3,5,3,5,1,5,8,5,8,3,2,3,5,3,Business Analyst,14.6
B.Sc,3.1,3,2,7,1,3,10,9,10,1,2,1,5,2,Business Analyst,14.42
B.Tech,2.7,5,3,2,2,8,8,3,2,3,7,8,5,4,Network Engineer,14.9
